name;zipcode
Paris;75000
Marseille;13000
Lyon;69000
Toulouse;31000
Nice;06000
Nantes;44000
Strasbourg;67000
Montpellier;34000
Bordeaux;33000
Rennes;35000
Le Havre;76000
Reims;51000
Lille;59000
Saint-Étienne;42000
Toulon;83000
Grenoble;38000
Angers;49000
Dijon;21000
Brest;29000
Le Mans;72000
Clermont-Ferrand;63000
Amiens;80000
Aix-en-Provence;13000
Limoges;87000
Nîmes;30000
Tours;37000
Saint-Denis;93200
Villeurbanne;69100
Metz;57000
Besançon;25000
Caen;14000
Orléans;45000
Mulhouse;68000
Rouen;76000
Boulogne-Billancourt;92100
Perpignan;66000
Nancy;54000
Roubaix;59000
Fort-de-France;97200
Argenteuil;95100
